êEã∆ñº,HP,MP,çUåÇóÕ,ñhå‰óÕ,ñÇñ@óÕ,ñÇñhóÕ,ëfëÅÇ≥,HP+,MP+,çUåÇóÕ+,ñhå‰óÕ+,ñÇñ@óÕ+,ñÇñhóÕ+,ëfëÅÇ≥+,HITó¶,CLTó¶,ABSó¶
óEé“,15000,1874,3524,3524,3524,3450,3374,1800,224,450,450,450,374,374,97,1,2
åïém,17250,0,3374,2624,750,1124,4200,1950,0,374,300,150,150,374,90,2,2
ãRém,27000,0,2250,4500,74,224,750,3150,0,300,600,74,74,150,97,1,2
êÌém,23250,0,4500,3600,374,674,1724,2700,0,524,450,74,74,224,100,1,2
ñÇèpét,10500,3750,1500,900,4500,3824,3750,1200,450,224,150,524,450,374,95,1,3
ëmóµ,12000,4500,750,2250,4124,4874,4350,1500,524,150,300,524,600,450,95,1,3
ó∑êl,3000,74,74,74,74,74,74,2250,450,524,524,524,450,450,97,1,2
,1500,375,705,705,705,690,675,180,45,90,90,90,75,75,,,
,1725,0,675,525,150,225,840,195,0,75,60,30,30,75,,,
,2700,0,450,900,15,45,150,315,0,60,120,15,15,30,,,
,2325,0,900,720,75,135,345,270,0,105,90,15,15,45,,,
,1050,750,300,180,900,765,750,120,90,45,30,105,90,75,,,
,1200,900,150,450,825,975,870,150,105,30,60,105,120,90,,,
,300,15,15,15,15,15,15,225,90,105,105,105,90,90,,,
