100,1024,85,1326,9,79,8,76,9,83,8,80,15,162,14,159
99,1327,74,1002,9,90,8,83,5,54,8,73,13,155,14,165
112,1591,67,1076,10,110,8,83,7,72,5,61,11,129,14,163
145,1681,77,1161,9,86,10,111,6,59,8,66,9,103,13,161
,,,,,,,,,,,,,,,
51,897,129,1646,9,80,6,60,11,106,10,95,13,137,15,152
86,1078,119,1563,5,61,8,77,9,90,11,102,17,185,14,160
,,,,,,,,,,,,,,,
120,1228,68,1060,13,118,10,98,11,107,10,104,18,194,15,174
,,,,,,,,,,,,,,,
,,,,X,X,X,X,X,X,X,X,X,X,X,X
50,512,42,663,18,158,16,152,18,166,16,160,30,324,28,318
49,663,37,501,18,180,16,166,10,108,16,146,26,310,28,330
56,795,33,538,20,220,16,166,14,144,10,122,22,258,28,326
72,840,38,580,18,172,20,222,12,118,16,132,18,206,26,322
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,448,64,823,18,160,12,120,22,212,20,190,26,274,30,304
43,539,59,781,10,122,16,154,18,180,22,204,34,370,28,320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,614,34,530,26,236,20,196,22,214,20,208,36,388,30,348
